年龄分组,发病数,死亡数,发病率(1/10万),死亡率(1/10万),发病数,死亡数,发病率(1/10万),死亡率(1/10万),年份,月份
,青海省,3.0,0.0,0.055600509597203966,0,2004,6,,,
,宁夏,17.0,0.0,0.29111946909398656,0,2004,6,,,
,新疆,7.0,0.0,0.03762599737112532,0,2004,6,,,
,全国,1656.0,0.0,0.12739637505000462,0,2004,7,,,
,河北省,59.0,0.0,0.08677677295831021,0,2004,7,,,
,山西省,4.0,0.0,0.012068949910840633,0,2004,7,,,
,黑龙江,3.0,0.0,0.00799744913362434,0,2004,7,,,
,上海市,2.0,0.0,0.01494771327266505,0,2004,7,,,
,江苏省,8.0,0.0,0.01056998009910572,0,2004,7,,,
,浙江省,170.0,0.0,0.36172136815788075,0,2004,7,,,
,安徽省,20.0,0.0,0.031040835212028148,0,2004,7,,,
,福建省,29.0,0.0,0.08065413282901324,0,2004,7,,,
,江西省,135.0,0.0,0.3151579266875896,0,2004,7,,,
,山东省,6.0,0.0,0.006544061850109899,0,2004,7,,,
,河南省,13.0,0.0,0.01341312422616591,0,2004,7,,,
,湖北省,9.0,0.0,0.014979236032665454,0,2004,7,,,
,湖南省,34.0,0.0,0.05090361400687798,0,2004,7,,,
,广东省,162.0,0.0,0.20366547568460514,0,2004,7,,,
,广西,532.0,0.0,1.0955887826948045,0,2004,7,,,
,海南省,5.0,0.0,0.06140880393458489,0,2004,7,,,
,重庆市,36.0,0.0,0.1150121823459367,0,2004,7,,,
,四川省,257.0,0.0,0.29493157449760415,0,2004,7,,,
,贵州省,104.0,0.0,0.27204084756104785,0,2004,7,,,
,西藏,2.0,0.0,0.07658125941710174,0,2004,7,,,
,陕西省,11.0,0.0,0.030070236966042118,0,2004,7,,,
,甘肃省,7.0,0.0,0.026780137936839043,0,2004,7,,,
,青海省,11.0,0.0,0.20386853518974785,0,2004,7,,,
,宁夏,28.0,0.0,0.4794908902724484,0,2004,7,,,
,新疆,9.0,0.0,0.04837628233430397,0,2004,7,,,
,全国,1952.0,0.0,0.15016770778841124,0,2004,8,,,
,天津市,2.0,0.0,0.02152214510359362,0,2004,8,,,
,河北省,56.0,0.0,0.08236439467229444,0,2004,8,,,
,山西省,8.0,0.0,0.024137899821681266,0,2004,8,,,
,内蒙古,1.0,0.0,0.0041940151403946566,0,2004,8,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,8,,,
,江苏省,3.0,0.0,0.0039637425371646445,0,2004,8,,,
,浙江省,297.0,0.0,0.6319485078993563,0,2004,8,,,
,安徽省,118.0,0.0,0.18314092775096608,0,2004,8,,,
,福建省,9.0,0.0,0.025030592946935142,0,2004,8,,,
,江西省,106.0,0.0,0.247457335028774,0,2004,8,,,
,山东省,5.0,0.0,0.005453384875091583,0,2004,8,,,
,河南省,73.0,0.0,0.07531985142385474,0,2004,8,,,
,湖北省,24.0,0.0,0.039944629420441205,0,2004,8,,,
,湖南省,43.0,0.0,0.06437810006752215,0,2004,8,,,
,广东省,94.0,0.0,0.11817626366884496,0,2004,8,,,
,广西,206.0,0.0,0.4242317466825747,0,2004,8,,,
,重庆市,162.0,0.0,0.5175548205567152,0,2004,8,,,
,四川省,429.0,0.0,0.49231768661273223,0,2004,8,,,
,贵州省,269.0,0.0,0.7036441153261719,0,2004,8,,,
,云南省,1.0,0.0,0.0022965540206919518,0,2004,8,,,
,西藏,7.0,0.0,0.2680344079598561,0,2004,8,,,
,陕西省,16.0,0.0,0.04373852649606127,0,2004,8,,,
,甘肃省,18.0,0.0,0.06886321183758612,0,2004,8,,,
,青海省,2.0,0.0,0.037067006398135975,0,2004,8,,,
,宁夏,1.0,0.0,0.017124674652587445,0,2004,8,,,
,新疆,1.0,0.0,0.005375142481589331,0,2004,8,,,
,全国,4195.0,2.0,0.32272209742437763,0.0001538603563405853,2004,9,,,
,天津市,3.0,0.0,0.032283217655390425,0,2004,9,,,
,河北省,108.0,0.0,0.15884561829656782,0,2004,9,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,9,,,
,上海市,11.0,0.0,0.08221242299965777,0,2004,9,,,
,江苏省,129.0,0.0,0.17044092909807973,0,2004,9,,,
,浙江省,483.0,0.0,1.0277142401191552,0,2004,9,,,
,安徽省,244.0,0.0,0.3786981895867434,0,2004,9,,,
,福建省,59.0,0.0,0.16408944265213038,0,2004,9,,,
,江西省,134.0,0.0,0.31282342352694076,0,2004,9,,,
,山东省,19.0,0.0,0.020722862525348013,0,2004,9,,,
,河南省,89.0,0.0,0.09182831200990509,0,2004,9,,,
,湖北省,94.0,0.0,0.15644979856339475,0,2004,9,,,
,湖南省,38.0,0.0,0.056892274478275384,0,2004,9,,,
,广东省,59.0,0.0,0.07417446336661546,0,2004,9,,,
,广西,273.0,0.0,0.5622100332249654,0,2004,9,,,
,海南省,11.0,0.0,0.13509936865608677,0,2004,9,,,
,重庆市,331.0,0.0,1.0574731210140293,0,2004,9,,,
,四川省,940.0,0.0,1.0787380545826768,0,2004,9,,,
,贵州省,322.0,2.0,0.8422803164870905,0.005231554760789382,2004,9,,,
,西藏,75.0,0.0,2.871797228141315,0,2004,9,,,
,陕西省,744.0,0.0,2.033841482066849,0,2004,9,,,
,甘肃省,27.0,0.0,0.10329481775637918,0,2004,9,,,
,青海省,1.0,0.0,0.018533503199067988,0,2004,9,,,
,全国,1932.0,0.0,0.1486291042250054,0,2004,10,,,
,天津市,1.0,0.0,0.01076107255179681,0,2004,10,,,
,河北省,185.0,0.0,0.2720966609709727,0,2004,10,,,
,山西省,1.0,0.0,0.003017237477710158,0,2004,10,,,
